Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
0;7;-1.57564;30;7.288;-1.85298;0.288;0.277343
1;2.4948;-2.09355;32;2.497;-2.0936;0.00219748;5.37418e-05
2;0.800858;-2.3749;26;0.803;-2.37493;0.00214187;3.28359e-05
3;5.18975;-1.21736;30;7.833;-1.76149;2.64325;0.544131
4;5.61903;-1.77726;32;8.762;-2.86001;3.14297;1.08275
5;5.97448;-1.80808;32;7.691;-2.19686;1.71652;0.388781
6;0.896975;-1.91196;34;0.901;-1.91211;0.00402473;0.000147677
7;3.36689;-2.19499;30;3.37;-2.19514;0.0031145;0.00014748
8;3.64335;-3.89658;26;3.642;-3.89667;0.00134713;8.50679e-05
9;5.53778;-2.04275;28;5.538;-2.04275;0.000223971;4.79738e-06
10;5.90379;-1.72678;38;8.351;-3.14299;2.44721;1.41621
11;3.15893;-1.83148;32;3.162;-1.83163;0.00306793;0.000146783
12;5.21277;-2.03499;26;5.209;-2.03521;0.00376898;0.000224599
13;3.34937;-2.10205;28;3.351;-2.10209;0.00162891;3.94741e-05
14;6.82082;-1.90634;32;6.823;-1.90642;0.00217783;8.0253e-05
15;1.29646;-1.65875;67;9.469;-1.96309;8.17254;0.304341
16;7;-3.018;26;7.157;-3.44893;0.157;0.430925
17;5.21133;-1.89002;30;5.212;-1.89005;0.000674616;2.618e-05
18;1.5504;-2.50859;28;1.551;-2.5086;0.00059741;1.09281e-05
19;4.99329;-2.46701;35;4.991;-2.46707;0.00228735;5.79837e-05
20;5.14005;-2.23207;30;5.14;-2.23207;5.44546e-05;2.32192e-06
21;2.67262;-1.90504;36;2.67;-1.90514;0.00261808;0.00010463
22;0.138109;-2.01518;32;0.14;-2.01529;0.00189117;0.000108958
23;2.98099;-1.59992;56;9.004;-2.95998;6.02301;1.36006
24;5.11049;-2.89922;23;5.11;-2.89922;0.000488898;4.06018e-06
25;3.55954;-1.72514;34;3.555;-1.72527;0.00454227;0.000134161
26;2.32239;-1.63532;44;8.659;-2.1656;6.33661;0.530285
27;5.54872;-2.68004;23;5.55;-2.68007;0.0012806;2.66369e-05
28;4.11513;-2.08073;32;4.118;-2.0808;0.00286593;7.1748e-05
29;1.2217;-2.57095;28;1.219;-2.57115;0.00270078;0.000203457
30;7;-2.4349;29;7.191;-3.38741;0.191;0.952512
31;4.57782;-2.08314;24;4.579;-2.08314;0.00117565;3.18418e-06
32;2.94367;-2.71673;34;2.943;-2.71673;0.000670349;4.7445e-06
33;2.84828;-2.75768;22;2.846;-2.75781;0.00227831;0.00012739
34;0.88035;-2.94307;27;0.884;-2.94354;0.00365009;0.000471602
35;4.8235;-1.97617;26;4.819;-1.97648;0.00450151;0.000313538
36;1.30366;-2.11099;26;1.306;-2.11114;0.00234185;0.000147933
37;3.29194;-2.43103;32;3.292;-2.43103;6.12336e-05;3.47566e-06
38;6.7595;-2.13592;27;6.757;-2.13599;0.00250475;6.77114e-05
39;4.28957;-2.39147;30;4.292;-2.39159;0.00242625;0.0001155
40;7;-1.67994;37;8.713;-2.14258;1.713;0.462641
41;2.6584;-2.40206;18;2.656;-2.40213;0.00239866;7.19851e-05
42;4.40499;-2.39459;30;4.399;-2.39552;0.00598693;0.000932701
43;1.33766;-2.19484;32;1.34;-2.19491;0.00234436;6.71562e-05
44;2.68153;-2.21462;36;2.679;-2.21471;0.002527;8.51119e-05
45;1.33948;-2.01378;30;1.346;-2.01473;0.00652134;0.000947555
46;1.82841;-3.32985;26;1.828;-3.32986;0.000411095;5.03577e-06
47;1.17831;-2.29795;40;1.179;-2.29795;0.000694968;2.58519e-06
48;2.64095;-2.1215;30;2.636;-2.12219;0.00494829;0.000690065
49;2.3346;-1.86816;32;2.333;-1.86816;0.0015952;2.44628e-06
50;0.468557;-2.00676;48;9.73;-2.48836;9.26144;0.481602
51;3.93475;-1.96539;34;7.981;-2.14927;4.04625;0.183878
52;6.30441;-1.15873;45;7.985;-2.26542;1.68059;1.10669
53;2.29655;-1.9338;34;2.3;-1.93403;0.00345061;0.000228674
54;5.61024;-1.81584;34;8.575;-1.98591;2.96476;0.170066
55;1.27932;-2.58932;26;1.278;-2.58936;0.00131761;4.02317e-05
